,city,lat,lng,max_temp,humidity,cloudiness,windspeed
0,Alta Floresta,-9.8756,-56.0861,21.52,99,100,1.22
1,Mehamn,71.0357,27.8492,-1.98,84,100,8.13
2,Jamestown,42.097,-79.2353,4.73,99,90,6.26
3,Lorengau,-2.0226,147.2712,29.01,76,69,3.2
4,Mogadishu,2.0371,45.3438,26.88,76,40,6.34
5,Kalmunai,7.4167,81.8167,27.51,74,97,0.83
6,Hermanus,-34.4187,19.2345,14.94,86,69,3.61
7,Upernavik,72.7868,-56.1549,-14.02,95,97,3.58
8,Mataura,-46.1927,168.8643,12.18,84,99,1.29
9,Mossamedes,-15.1961,12.1522,20.69,88,90,1.06
10,Severo-Kuril'sk,50.6789,156.125,3.56,80,50,8.31
11,Atambua,-9.1061,124.8925,28.08,73,96,1.06
12,Ushuaia,-54.8,-68.3,6.25,83,100,0.11
13,Togur,58.3631,82.8265,-3.49,96,100,4.06
14,Mareeba,-17.0,145.4333,29.71,39,78,4.52
15,Rikitea,-23.1203,-134.9692,23.01,72,93,5.6
16,Saint-Augustin,51.226,-58.6502,0.16,91,95,3.31
17,Nizwá,22.9333,57.5333,23.9,27,4,1.1
18,Erenhot,43.6475,111.9767,0.56,59,2,1.39
19,Caniço,32.6333,-16.85,19.6,82,75,2.57
20,Cascais,38.6979,-9.4215,15.84,64,20,1.34
21,Khatanga,71.9667,102.5,-22.39,92,100,1.56
22,Iqaluit,63.7506,-68.5145,-20.15,76,20,7.15
23,Budogoshch',59.2816,32.4707,1.54,94,100,2.33
24,Avarua,-21.2078,-159.775,25.03,83,20,1.54
25,Hobart,-42.8794,147.3294,11.14,69,75,1.34
26,Busselton,-33.65,115.3333,23.91,39,93,5.16
27,Kwang Binh,17.4833,106.6,21.31,83,100,3.98
28,Chokurdakh,70.6333,147.9167,-21.17,93,100,4.04
29,Port Macquarie,-31.4333,152.9167,26.05,28,4,4.17
30,Punta Arenas,-53.15,-70.9167,9.06,71,90,2.57
31,Vaini,-21.2,-175.2,23.89,68,7,4.91
32,Cayenne,4.9333,-52.3333,26.72,87,0,1.34
33,Hibbing,47.4272,-92.9377,-3.01,86,90,1.54
34,Cape Town,-33.9258,18.4232,17.27,74,0,1.34
35,Tautira,-17.7333,-149.15,27.01,65,59,3.89
36,Saint-Joseph,-21.3667,55.6167,28.04,75,96,4.99
37,Beringovskiy,63.05,179.3167,-2.42,97,99,1.59
38,Byron Bay,-28.65,153.6167,27.97,35,0,2.06
39,Thurso,58.5927,-3.5259,11.14,89,87,7.77
40,Bredasdorp,-34.5322,20.0403,14.04,88,58,1.1
41,Dikson,73.5069,80.5464,-24.09,96,14,2.7
42,Wanning,18.8003,110.3967,25.18,63,67,5.62
43,Cherskiy,68.75,161.3,-7.89,96,100,0.74
44,Bluff,-46.6,168.3333,11.8,82,99,3.66
45,Mar del Plata,-38.0023,-57.5575,18.38,92,90,6.26
46,Vardø,70.3705,31.1107,-0.92,80,100,7.96
47,Jinji,23.2281,110.8261,22.95,43,63,3.08
48,Wilmington,34.2257,-77.9447,12.72,59,1,3.6
49,Tasiilaq,65.6145,-37.6368,3.09,90,100,10.33
50,Airai,-8.9266,125.4092,21.69,77,89,0.82
51,Hammerfest,70.6634,23.6821,-0.75,86,100,4.63
52,Saint Paul Harbor,57.79,-152.4072,-1.27,64,90,4.12
53,Karrāpur,23.95,78.85,21.57,36,6,2.43
54,Rio Bonito,-22.7086,-42.6097,17.56,89,94,1.15
55,Fort Nelson,58.8053,-122.7002,-10.23,92,1,2.06
56,Leningradskiy,69.3833,178.4167,-16.18,98,99,0.47
57,"Burgdorf, Hanover",52.4463,10.0064,7.98,96,100,0.45
58,Arrifes,37.7667,-25.7,15.69,82,75,7.72
59,Barrhead,55.7992,-4.3929,7.74,93,90,0.51
60,Castro,-24.7911,-50.0119,9.39,97,60,3.23
61,Narsaq,60.9167,-46.05,-7.88,83,2,1.36
62,San Luis,-33.295,-66.3356,14.0,68,2,8.09
63,Bethel,41.3712,-73.414,5.05,74,1,0.45
64,Muhos,64.808,25.9931,-3.12,84,8,1.98
65,Hay River,60.8156,-115.7999,-4.01,93,75,4.63
66,Ciudad Bolivar,8.1222,-63.5497,25.1,80,20,4.49
67,Longyearbyen,78.2186,15.6401,-10.09,57,20,5.14
68,Ponta do Sol,32.6667,-17.1,19.45,70,12,1.29
69,Bathsheba,13.2167,-59.5167,26.34,83,75,5.66
70,East London,-33.0153,27.9116,18.52,68,40,3.6
71,New Norfolk,-42.7826,147.0587,10.95,57,100,0.89
72,Fortuna,40.5982,-124.1573,12.7,73,90,0.0
73,Curuguaty,-24.4694,-55.6945,18.56,72,51,2.2
74,Hilo,19.7297,-155.09,23.95,96,90,2.06
75,Lagoa,39.05,-27.9833,16.53,71,100,11.75
76,Hokitika,-42.7167,170.9667,15.54,86,91,5.73
77,Bilibino,68.0546,166.4372,-12.11,92,100,2.33
78,Atuona,-9.8,-139.0333,25.48,70,0,5.41
79,Portland,45.5234,-122.6762,15.93,95,90,0.89
80,Palmares,-8.6833,-35.5917,23.45,86,59,1.27
81,Parit Buntar,5.1267,100.4932,29.01,86,100,0.49
82,Magadan,59.5667,150.8,2.52,93,100,2.66
83,Železná Ruda,49.1374,13.2352,4.89,99,100,2.68
84,Leshukonskoye,64.8989,45.7622,-6.58,92,99,3.0
85,Southbridge,42.0751,-72.0334,4.53,79,29,0.89
86,Qaanaaq,77.484,-69.3632,-23.32,56,0,3.66
87,College,64.8569,-147.8028,-17.62,78,20,0.0
88,Krasnosel'kup,65.7,82.4667,-18.09,97,92,4.78
89,Port Moresby,-9.4431,147.1797,29.31,74,88,4.49
90,Kieta,-6.2167,155.6333,28.61,78,23,1.82
91,Hervey Bay,-25.2986,152.8535,28.35,39,0,5.28
92,Akalkot,17.5333,76.2167,26.8,69,65,3.97
93,Puerto Ayora,-0.7393,-90.3518,19.83,81,50,3.31
94,Envira,-7.3,-70.2167,22.03,94,88,1.14
95,Marsaxlokk,35.8419,14.5431,13.34,88,0,1.03
96,Elliot,-31.3333,27.85,12.6,83,96,0.35
97,Kasongo-Lunda,-6.4667,16.8167,20.25,93,95,0.69
98,Jiangyou,31.7667,104.7167,12.77,60,98,1.25
99,Cooma,-36.2333,149.1333,11.87,50,40,10.29
100,Oktyabr'skiy,54.4815,53.471,-2.94,91,100,5.25
101,Butaritari,3.0707,172.7902,28.11,74,25,6.54
102,Albany,42.6001,-73.9662,4.11,88,26,2.68
103,Atlantic City,39.3643,-74.4229,7.02,67,1,3.6
104,Casma,-41.0082,-73.1244,9.6,94,73,1.65
105,Venado Tuerto,-33.7456,-61.9688,15.87,92,100,3.61
106,Karratha,-20.7377,116.8463,32.29,19,37,7.19
107,Esperance,-33.8667,121.9,17.82,50,10,6.35
108,Ulladulla,-35.35,150.4667,21.04,44,42,8.0
109,Coruripe,-10.1256,-36.1756,24.56,84,15,2.68
110,Carnarvon,-24.8667,113.6333,26.04,53,1,6.17
111,Havre-St-Pierre,50.2334,-63.5986,3.0,93,90,2.06
112,Margate,51.3813,1.3862,11.09,90,100,1.34
113,São Bento,-6.2833,-37.75,24.03,66,10,5.7
114,Hithadhoo,-0.6,73.0833,28.19,72,70,5.82
115,Vila Velha,-20.3297,-40.2925,17.97,95,90,3.6
116,Pevek,69.7008,170.3133,-11.95,87,100,0.59
117,Kajaani,64.2273,27.7285,0.03,86,75,4.63
118,Olafsvik,64.8945,-23.7142,8.41,89,100,16.98
119,Mayumba,-3.432,10.6554,24.58,89,100,3.08
120,Malbork,54.0359,19.0266,6.73,94,37,1.8
121,Oranjemund,-28.55,16.4333,15.9,87,1,4.47
122,Kavaratti,10.5669,72.642,27.12,81,100,5.59
123,Khāga,25.7833,81.1167,22.74,46,0,1.56
124,Korla,41.7597,86.1469,2.95,33,1,0.71
125,Eydhafushi,5.1033,73.0708,28.21,80,89,8.35
126,Praia,14.9215,-23.5087,24.3,73,75,3.6
127,Fonte Boa,-2.4959,-66.2662,22.95,93,77,0.26
128,Muros,42.7762,-9.0603,12.69,78,23,3.08
129,Anadyr,64.75,177.4833,-1.72,92,75,5.81
130,Thompson,55.7435,-97.8558,-4.91,80,90,1.54
131,Vila Franca do Campo,37.7167,-25.4333,16.78,92,100,11.13
132,Grand Gaube,-20.0064,57.6608,27.22,69,99,3.58
133,Port Alfred,-33.5906,26.891,16.74,82,67,5.88
134,Matara,5.9485,80.5353,29.26,70,71,5.87
135,Cidreira,-30.1811,-50.2056,18.98,77,0,10.75
136,Slave Lake,55.2834,-114.769,-1.01,64,1,1.54
137,Ilulissat,69.2167,-51.1,-26.38,71,30,2.92
138,Tuktoyaktuk,69.4541,-133.0374,-9.0,92,90,5.14
139,Lucea,18.451,-78.1736,25.92,80,99,4.06
140,Liku,-0.7275,119.8922,28.86,70,100,1.52
141,Tiksi,71.6872,128.8694,-23.85,99,97,2.57
142,Goroka,-6.0834,145.3873,23.3,74,100,1.14
143,Codrington,-38.2667,141.9667,11.0,61,97,11.22
144,Hirara,24.8,125.2833,22.92,78,75,7.2
145,Oistins,13.0667,-59.5333,26.05,83,75,5.66
146,Puerto Escondido,15.85,-97.0667,24.85,62,7,2.05
147,Tuatapere,-46.1333,167.6833,12.49,88,99,1.02
148,Elizabeth City,36.2946,-76.2511,10.56,60,75,5.66
149,Vao,-22.6667,167.4833,25.17,76,9,2.72
150,Kavieng,-2.5744,150.7967,28.97,73,41,4.53
151,Aksu,41.1231,80.2644,3.98,35,0,0.6
152,Al Bardīyah,31.7561,25.0865,19.01,65,99,3.61
153,Ljungby,56.8332,13.9408,7.23,91,100,4.14
154,Lavrentiya,65.5833,-171.0,-10.59,96,76,2.33
155,Aburi,5.8472,-0.1775,22.24,89,21,1.24
156,Saskylakh,71.9167,114.0833,-27.29,96,11,3.73
157,Dicabisagan,17.0818,122.4157,29.87,68,21,2.78
158,Lebu,-37.6167,-73.65,9.24,83,4,2.79
159,Rafai,4.95,23.9167,19.7,95,29,0.84
160,Leningori,42.126,44.4833,-0.27,57,3,1.84
161,Ust-Nera,64.5667,143.2,-16.45,99,100,1.61
162,Conde,-7.2597,-34.9075,24.7,83,20,1.54
163,Nālūt,30.3333,10.85,14.96,62,0,4.89
164,Salalah,17.0151,54.0924,24.05,53,0,1.54
165,Batemans Bay,-35.7167,150.1833,19.95,38,45,6.83
166,Nikolskoye,59.7035,30.7861,3.82,91,100,2.36
167,Real,14.6625,121.6047,32.01,73,62,3.74
168,Kapaa,22.0752,-159.319,26.99,76,1,0.45
169,Torbay,47.6666,-52.7314,11.82,94,90,13.38
170,Provideniya,64.3833,-173.3,-5.81,96,98,1.93
171,Lata,40.1629,-8.3327,12.67,68,10,1.67
172,Bengkulu,-3.8004,102.2655,28.73,70,76,2.45
173,Denizli Province,37.8402,29.0698,1.47,64,72,0.92
174,Luxor,25.6989,32.6421,20.18,83,0,1.59
175,San Quintín,30.4833,-115.95,19.52,50,0,0.77
176,Gold Coast,-28.0,153.4333,29.02,28,0,4.92
177,George Town,5.4112,100.3354,28.97,81,40,1.03
178,Port Hedland,-20.3167,118.5667,33.03,22,18,7.2
179,Alofi,-19.0595,-169.9187,25.94,83,52,3.6
180,Aklavik,68.2191,-135.0107,-10.54,92,100,4.36
181,Tiznit Province,29.5833,-9.5,10.99,81,0,0.57
182,Nisibis,37.0778,41.2178,8.77,43,0,1.03
183,Caravelas,-17.7125,-39.2481,21.02,81,100,4.11
184,Bambous Virieux,-20.3428,57.7575,27.14,69,40,5.66
185,Tsiroanomandidy,-18.7667,46.0333,23.11,68,11,1.2
186,Kruisfontein,-34.0033,24.7314,13.27,81,96,3.21
187,Ruteng,-8.6136,120.4721,21.65,83,96,0.38
188,Iralaya,15.0,-83.2333,25.34,86,19,3.37
189,Shakawe,-18.3667,21.85,24.38,42,74,0.3
190,Teya,60.3778,92.6267,-5.16,87,99,4.63
191,Kaitangata,-46.2817,169.8464,13.29,83,100,1.63
192,Qian’an,44.9932,124.0581,1.19,85,99,3.21
193,Touros,-5.1989,-35.4608,26.5,79,13,6.48
194,Kalakamati,-20.5929,27.3121,21.91,47,19,3.52
195,Saint-Pierre,-21.3393,55.4781,27.8,65,0,2.57
196,Novopavlovka,51.2172,109.2091,-1.8,74,90,2.3
197,Fort Frances,48.5999,-93.4003,-2.88,60,90,2.06
198,Olinda,-8.0089,-34.8553,26.85,74,40,3.09
199,Yellowknife,62.456,-114.3525,-3.17,100,90,4.63
200,Ruwi,23.5996,58.5507,26.83,52,3,4.28
201,Obo,5.3998,26.4869,19.78,91,4,1.37
202,Jiwani,25.05,61.7417,24.76,46,0,3.64
203,Barrow,71.2906,-156.7887,-6.99,68,90,7.72
204,Jasper,37.2001,-94.3502,8.15,48,20,1.34
205,Port Blair,11.6667,92.75,28.28,71,78,3.12
206,Aban,56.67,96.06,-3.2,88,74,3.86
207,Pinawa,50.1489,-95.8811,-5.41,98,100,1.52
208,Bondo,3.8146,23.6866,19.47,99,45,0.73
209,Yagodnoye,62.55,149.6667,-11.19,95,100,1.84
210,Bastrop,32.7562,-91.8724,3.82,54,0,1.37
211,Ostrovnoy,68.0531,39.5131,-1.72,89,100,8.96
212,Kananga,-5.8958,22.4178,20.18,99,100,2.54
213,Taoudenni,22.6783,-3.9836,22.66,17,30,3.16
214,Mingora,34.7758,72.3625,16.4,21,0,1.79
215,Myitkyina,25.3833,97.4,25.06,64,81,0.99
216,Grants Pass,42.439,-123.3284,13.47,90,90,0.0
217,Chitungwiza,-18.0127,31.0756,19.69,77,82,4.21
218,Sabang,5.8933,95.3214,27.86,75,99,8.3
219,Taylor,32.3001,-99.8337,16.7,50,1,2.24
220,Budaun,28.05,79.1167,21.46,38,0,0.82
221,Oksbøl,55.6268,8.2876,8.34,94,100,5.66
222,Okhotsk,59.3833,143.3,0.07,95,100,3.24
223,Algiers,36.7525,3.042,12.9,94,40,2.06
224,Ondangwa,-17.9167,15.95,26.45,36,99,3.2
225,Shache,38.4167,77.2406,4.45,31,92,0.39
226,Cururupu,-1.8283,-44.8683,23.83,88,26,1.1
227,Sakaiminato,35.55,133.2333,17.99,52,20,7.72
228,Dabat,12.9842,37.765,11.51,76,4,2.46
229,Takoradze,4.8845,-1.7554,25.46,85,14,2.47
230,Warrnambool,-38.3833,142.4833,11.97,52,88,11.98
231,Kurisove,46.9695,30.9591,9.25,87,100,3.44
232,Nuuk,64.1835,-51.7216,-10.66,57,20,10.8
233,Arrondissement de Cholet,47.1667,-1.0,10.58,68,100,2.86
234,Mucurapo,10.6667,-61.5333,25.14,89,36,3.33
235,Coquimbo,-29.9533,-71.3436,12.85,82,0,1.54
236,Bonthe,7.5264,-12.505,25.31,83,100,1.87
237,Yumen,40.2833,97.2,4.23,24,75,8.98
238,Vryburg,-26.9566,24.7284,18.3,18,0,0.94
239,Richards Bay,-28.783,32.0377,20.61,88,100,3.98
240,Alibag,18.6411,72.8792,31.04,63,27,2.77
241,Břidličná,49.9117,17.3711,3.23,97,97,0.87
242,Ribeira Grande,38.5167,-28.7,17.04,69,75,10.77
243,Poya,-21.35,165.15,28.09,67,77,2.86
244,Kupang,-10.1667,123.5833,30.32,79,75,2.57
245,Badarpur,24.9,92.6,23.43,72,72,1.4
246,Sambava,-14.2667,50.1667,24.87,79,76,2.61
247,Carlsbad,33.1581,-117.3506,24.43,39,1,1.34
248,Beyneu,45.3167,55.2,2.86,72,90,6.19
249,Baijiantan,45.6333,85.1833,2.98,52,17,1.06
250,San Jose,37.3394,-121.895,18.88,71,1,0.0
251,Rocha,-34.4833,-54.3333,16.02,77,77,7.22
252,Strezhevoy,60.7333,77.5889,-12.01,95,100,2.7
253,Menongue,-14.6585,17.691,17.38,83,77,0.89
254,Sørland,67.667,12.6934,4.85,63,78,6.65
255,Aswān,24.0934,32.907,19.61,88,0,2.57
256,Adrar,20.5022,-10.0711,22.11,44,23,3.73
257,La Asuncion,11.0333,-63.8628,25.47,85,54,5.24
258,Pisco,-13.7,-76.2167,17.03,82,20,0.0
259,Ahipara,-35.1667,173.1667,20.02,80,48,6.02
260,Jieshi,22.8134,115.8257,23.3,49,2,3.69
261,Chui,-33.6971,-53.4616,17.5,75,44,7.01
262,Bariloche,-41.1456,-71.3082,5.86,65,75,8.75
263,Nam Som,17.7704,102.1895,27.83,67,78,1.82
264,Henties Bay,-22.116,14.2845,13.25,92,79,1.64
265,Kamenka,51.3223,42.7678,3.76,58,100,3.24
266,Hukuntsi,-24.0,21.75,23.23,19,46,3.65
267,The Valley,18.217,-63.0578,27.28,72,61,8.51
268,Marawi,7.9986,124.2928,24.25,85,86,1.82
269,Hrebinka,50.1171,32.4361,1.04,88,95,3.16
270,Teknāf,20.8624,92.3058,28.72,65,100,1.25
271,Clyde River,70.4692,-68.5914,-20.34,86,47,3.33
272,Khovd,48.0056,91.6419,1.15,40,16,1.47
273,Shiojiri,36.1,137.9667,15.15,41,40,9.26
274,Talnakh,69.4865,88.3972,-13.01,95,100,4.3
275,Port Elizabeth,-33.918,25.5701,17.16,77,40,6.17
276,São Filipe,14.8961,-24.4956,24.03,72,61,3.32
277,Mubi,10.2676,13.2644,23.54,23,39,1.85
278,Safaga,26.7292,33.9365,18.97,63,4,0.29
279,Muisne,0.6,-80.0333,23.48,86,100,3.66
280,Pimenta Bueno,-11.6725,-61.1936,22.96,97,99,1.29
281,Mount Gambier,-37.8333,140.7667,10.95,82,75,9.77
282,La Peca,-5.6111,-78.435,20.31,83,29,1.04
283,Faanui,-16.4833,-151.75,26.42,72,100,5.53
284,Nombre de Dios,23.85,-104.2333,18.23,46,51,1.65
285,Laguna,38.421,-121.4238,16.78,96,90,0.45
286,Hamilton,39.1834,-84.5333,3.35,75,90,0.45
287,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,28.54,42,82,5.25
288,Mahébourg,-20.4081,57.7,27.16,69,40,5.66
289,Yulara,-25.2406,130.9889,24.91,18,0,2.57
290,Moussoro,13.6408,16.4901,25.92,16,11,4.36
291,Qurayyat,31.3318,37.3428,17.1,23,75,6.17
292,Paros,37.0833,25.15,14.4,82,100,2.57
293,Husavik,66.0449,-17.3389,4.95,93,21,8.69
294,La Ronge,55.1001,-105.2842,-3.86,86,90,1.54
295,Saint George,37.1041,-113.5841,19.64,50,1,0.45
296,Katsuura,35.1333,140.3,20.08,61,58,7.87
297,Yemel'yanovo,56.1681,92.6767,-0.55,86,75,2.0
298,Barabinsk,55.3571,78.357,-1.2,97,100,5.19
299,Bose,45.4612,8.0137,10.67,92,56,1.59
300,Quatre Cocos,-20.2078,57.7625,27.06,71,97,5.61
301,Hasaki,35.7333,140.8333,18.22,50,73,8.3
302,Muroto-misakicho,33.2833,134.15,17.02,54,97,2.36
303,Porto Velho,-8.7619,-63.9039,24.03,94,20,0.51
304,Sedalia,38.7045,-93.2283,7.14,53,90,7.2
305,Nanortalik,60.1432,-45.2371,-6.03,69,3,14.61
306,Zhicheng,30.2956,111.5047,19.12,42,0,1.37
307,Ekibastuz,51.6667,75.3667,1.06,49,100,8.03
308,Etchojoa,26.9167,-109.6333,24.04,43,20,3.04
309,Da Lat,11.9465,108.4419,18.39,94,100,1.6
310,Rio Grande,-32.035,-52.0986,18.86,75,0,10.33
311,Kwinana,-32.25,115.7667,30.73,35,93,5.57
312,Ugoofaaru,5.6667,73.0,28.01,79,81,8.78
313,San Francisco,37.7749,-122.4194,18.85,79,1,0.89
314,Corinth,37.9407,22.9573,15.38,83,99,0.99
315,Rechitsy,55.5978,38.4639,3.02,98,100,0.44
316,Fare,-16.7,-151.0167,26.19,68,100,5.36
317,Asău,46.4333,26.4,3.51,75,100,1.18
318,Batouri,4.4333,14.3667,19.99,95,96,1.35
319,Bow Island,49.8668,-111.3684,5.21,53,100,2.57
320,Saint-François,46.4154,3.9054,9.15,94,90,2.57
321,Kungurtug,50.5994,97.5228,-3.91,61,44,0.6
322,Southampton,50.904,-1.4043,11.14,91,100,0.45
323,Pokhara,28.2333,83.9833,19.18,64,1,1.92
324,Westport,41.1415,-73.3579,5.99,70,1,0.45
